id;nom;prenom;adresse;code_postal;ville
1;vivacious how freely;tight postmark;range yippee;innocently minor;duh journey rotten
2;duh;which fairly;that lined;extremely since;inasmuch
3;before psst when;drat before;poker within;physical because synchronise;impartial silky hmph
4;quarrelsomely woozy;streak divorce lacquer;round beautiful;down boohoo;profession
5;eek;beyond juicy;exotic fast yearningly;after uh-huh;because
6;an ectoderm fish;alongside piercing wherever;fooey including;after;inventor dally
7;badly well-groomed;scrawny knobby;bah bah foolish;if whoa;by and digitalize
8;eek optimistically scrip;embellished unibody previous;unblinking ladder;grandson triangular;whenever boohoo
9;flock affiliate forceful;every boo blushing;parcel modulo;marxism strictly polyester;till wherever biff
10;assail;less frown;closed when in;sure-footed measure;geez fondly
